# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1705903545031000000,1705903605051000000,19124910
FileNameCache.totalMisses,1705903545031000000,1705903605051000000,1107100
Indexes.entries.lookups,1705903545031000000,1705903605051000000,28.0
Indexes.entries.lookupDurationAvgMs,1705903545031000000,1705903605051000000,9.25
Indexes.stubs.lookups,1705903545031000000,1705903605051000000,0.0
Indexes.allKeys.lookups,1705903545031000000,1705903605051000000,0.0
IndexesFlusher.totalFlushingTimeUs,1705903545031000000,1705903605051000000,1440531
Indexes.allKeys.lookupDurationMaxMs,1705903545031000000,1705903605051000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1705903545031000000,1705903605051000000,0.0
Indexes.stubs.lookupDurationMaxMs,1705903545031000000,1705903605051000000,0.0
Indexes.stubs.lookupDurationAvgMs,1705903545031000000,1705903605051000000,0.0
Indexes.entries.lookupDuration90PMs,1705903545031000000,1705903605051000000,54.0
IndexesFlusher.totalFlushesRetried,1705903545031000000,1705903605051000000,3
Indexes.entries.lookupDurationMaxMs,1705903545031000000,1705903605051000000,111.0
Indexes.allKeys.lookupDuration90PMs,1705903545031000000,1705903605051000000,0.0
Indexes.stubs.lookupDuration90PMs,1705903545031000000,1705903605051000000,0.0
IndexesFlusher.totalFlushes,1705903545031000000,1705903605051000000,77
IndexesFlusher.totalContentionQuotaSpent,1705903545031000000,1705903605051000000,31
jps.global.get.library.ms,1705903545031000000,1705903605051000000,0
jps.facet.change.listener.before.change.events.ms,1705903545031000000,1705903605051000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1705903545031000000,1705903605051000000,0
jps.app.storage.content.writer.save.component.ms,1705903545031000000,1705903605051000000,0
workspaceModel.moduleBridge.update.option.ms,1705903545031000000,1705903605051000000,0
workspaceModel.load.cache.from.file.ms,1705903545031000000,1705903605051000000,350
jps.reload.project.entities.ms,1705903545031000000,1705903605051000000,0
workspaceModel.global.updates.count,1705903545031000000,1705903605051000000,0
jps.facet.change.listener.init.bridge.ms,1705903545031000000,1705903605051000000,0
jps.global.get.libraries.ms,1705903545031000000,1705903605051000000,0
jps.global.initialize.library.bridges.ms,1705903545031000000,1705903605051000000,1
jps.storage.jps.conf.reader.load.component.ms,1705903545031000000,1705903605051000000,42
workspaceModel.global.apply.state.to.project.ms,1705903545031000000,1705903605051000000,46
workspaceModel.mutableEntityStorage.add.diff.ms,1705903545031000000,1705903605051000000,23
jps.global.handle.before.change.events.ms,1705903545031000000,1705903605051000000,0
workspaceModel.load.cache.metadata.from.file.ms,1705903545031000000,1705903605051000000,47
workspaceModel.moduleBridge.before.changed.ms,1705903545031000000,1705903605051000000,0
jps.load.initial.state.ms,1705903545031000000,1705903605051000000,11
jps.module.iml.entities.serializer.load.entities.ms,1705903545031000000,1705903605051000000,41
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1705903545031000000,1705903605051000000,2
jps.app.storage.content.reader.load.component.ms,1705903545031000000,1705903605051000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1705903545031000000,1705903605051000000,1
jps.global.get.library.by.name.ms,1705903545031000000,1705903605051000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1705903545031000000,1705903605051000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1705903545031000000,1705903605051000000,0
workspaceModel.sync.entities.ms,1705903545031000000,1705903605051000000,0
jps.library.entities.serializer.save.entities.ms,1705903545031000000,1705903605051000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1705903545031000000,1705903605051000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1705903545031000000,1705903605051000000,122
workspaceModel.mutableEntityStorage.put.entity.ms,1705903545031000000,1705903605051000000,20
workspaceModel.moduleManagerBridge.build.module.graph.ms,1705903545031000000,1705903605051000000,2
workspaceModel.mutableEntityStorage.entities.by.source.ms,1705903545031000000,1705903605051000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1705903545031000000,1705903605051000000,0
workspaceModel.mutableEntityStorage.entities.ms,1705903545031000000,1705903605051000000,3
workspaceModel.mutableEntityStorage.remove.entity.ms,1705903545031000000,1705903605051000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1705903545031000000,1705903605051000000,0
jps.load.project.to.empty.storage.ms,1705903545031000000,1705903605051000000,125
jps.library.entities.serializer.load.entities.ms,1705903545031000000,1705903605051000000,0
jps.apply.loaded.storage.ms,1705903545031000000,1705903605051000000,147
workspaceModel.mutableEntityStorage.resolve.ms,1705903545031000000,1705903605051000000,0
jps.artifact.entities.serializer.load.entities.ms,1705903545031000000,1705903605051000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1705903545031000000,1705903605051000000,1
jps.module.iml.entities.serializer.save.entities.ms,1705903545031000000,1705903605051000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1705903545031000000,1705903605051000000,25
workspaceModel.orphan.listener.update.ms,1705903545031000000,1705903605051000000,3
jps.save.global.entities.ms,1705903545031000000,1705903605051000000,1
jps.project.serializers.load.ms,1705903545031000000,1705903605051000000,110
workspaceModel.mutableEntityStorage.has.same.entities.ms,1705903545031000000,1705903605051000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1705903545031000000,1705903605051000000,934
workspaceModel.delayed.project.synchronizer.sync.ms,1705903545031000000,1705903605051000000,283
jps.global.initialize.library.bridges.after.loading.ms,1705903545031000000,1705903605051000000,0
jps.project.serializers.save.ms,1705903545031000000,1705903605051000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1705903545031000000,1705903605051000000,0
jps.artifact.entities.serializer.save.entities.ms,1705903545031000000,1705903605051000000,0
jps.global.handle.changed.events.ms,1705903545031000000,1705903605051000000,0
jps.save.changed.project.entities.ms,1705903545031000000,1705903605051000000,2
workspaceModel.global.updates.ms,1705903545031000000,1705903605051000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1705903545031000000,1705903605051000000,0
workspaceModel.save.cache.to.file.ms,1705903545031000000,1705903605051000000,173
jps.facet.change.listener.process.change.events.ms,1705903545031000000,1705903605051000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1705903545031000000,1705903605051000000,41
workspaceModel.moduleBridge.facet.initialization.ms,1705903545031000000,1705903605051000000,2
workspaceModel.mutableEntityStorage.modify.entity.ms,1705903545031000000,1705903605051000000,8
workspaceModel.mutableEntityStorage.to.snapshot.ms,1705903545031000000,1705903605051000000,3
FilePageCacheLockFree.housekeeperTurnsDone,1705903545031000000,1705903605051000000,119
FilePageCacheLockFree.totalPageAllocationsWaited,1705903545031000000,1705903605051000000,0
FilePageCacheLockFree.totalPagesReadMs,1705903545031000000,1705903605051000000,29
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1705903545031000000,1705903605051000000,240336896
FilePageCacheLockFree.totalNativeBytesReclaimed,1705903545031000000,1705903605051000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1705903545031000000,1705903605051000000,0
FilePageCacheLockFree.totalPagesRequested,1705903545031000000,1705903605051000000,123
FilePageCache.pageLoadsAboveSizeThreshold,1705903545031000000,1705903605051000000,0
DirectByteBufferAllocator.misses,1705903545031000000,1705903605051000000,255
FilePageCache.pageFastCacheHits,1705903545031000000,1705903605051000000,662937
StorageLockContext.competingThreads.max,1705903545031000000,1705903605051000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1705903545031000000,1705903605051000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1705903545031000000,1705903605051000000,3738
StreamlinedBlobStorage.recordsRelocated,1705903545031000000,1705903605051000000,0
FilePageCacheLockFree.totalBytesWritten,1705903545031000000,1705903605051000000,0
FilePageCacheLockFree.heapBytesInUse,1705903545031000000,1705903605051000000,0
FilePageCacheLockFree.totalPagesAllocated,1705903545031000000,1705903605051000000,8
DirectByteBufferAllocator.reclaimed,1705903545031000000,1705903605051000000,19
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1705903545031000000,1705903605051000000,1327290
DirectByteBufferAllocator.hits,1705903545031000000,1705903605051000000,19
FilePageCacheLockFree.totalHeapBytesReclaimed,1705903545031000000,1705903605051000000,0
StorageLockContext.competingThreads.avg,1705903545031000000,1705903605051000000,0.0
FilePageCache.totalPageLoadsUs,1705903545031000000,1705903605051000000,594391
FilePageCache.uncachedFileAccess,1705903545031000000,1705903605051000000,170
FilePageCacheLockFree.totalPagesWriteMs,1705903545031000000,1705903605051000000,0
FilePageCache.capacityInBytes,1705903545031000000,1705903605051000000,503316478
MappedFileStorage.totalPagesMapped,1705903545031000000,1705903605051000000,16
FilePageCacheLockFree.totalPagesHandedOver,1705903545031000000,1705903605051000000,0
FilePageCache.pageLoads,1705903545031000000,1705903605051000000,266
FilePageCache.maxRegisteredFiles,1705903545031000000,1705903605051000000,289
FilePageCache.totalPageDisposalsUs,1705903545031000000,1705903605051000000,1825
FilePageCacheLockFree.nativeBytesInUse,1705903545031000000,1705903605051000000,65536
FilePageCacheLockFree.totalPagesWritten,1705903545031000000,1705903605051000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1705903545031000000,1705903605051000000,43449
StorageLockContext.competingThreads.90P,1705903545031000000,1705903605051000000,0
FilePageCache.pageHits,1705903545031000000,1705903605051000000,16273
FilePageCacheLockFree.totalPagesReclaimed,1705903545031000000,1705903605051000000,0
DirectByteBufferAllocator.disposed,1705903545031000000,1705903605051000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1705903545031000000,1705903605051000000,845
StreamlinedBlobStorage.recordsAllocated,1705903545031000000,1705903605051000000,105773
FilePageCacheLockFree.totalHeapBytesAllocated,1705903545031000000,1705903605051000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1705903545031000000,1705903605051000000,7516676
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705903545031000000,1705903605051000000,0
MappedFileStorage.totalBytesMapped,1705903545031000000,1705903605051000000,136577024
FilePageCacheLockFree.totalNativeBytesAllocated,1705903545031000000,1705903605051000000,65536
FilePageCacheLockFree.totalPagesRequestsMs,1705903545031000000,1705903605051000000,37
MappedFileStorage.storages,1705903545031000000,1705903605051000000,16
FilePageCache.disposedBuffers,1705903545031000000,1705903605051000000,19
FilePageCacheLockFree.totalBytesRead,1705903545031000000,1705903605051000000,57872
FilePageCache.maxCacheSizeInBytes,1705903545031000000,1705903605051000000,240271360
StreamlinedBlobStorage.recordsDeleted,1705903545031000000,1705903605051000000,2
FilePageCacheLockFree.totalBytesRequested,1705903545031000000,1705903605051000000,1007616
workspaceModel.initializing.ms,1705903545031000000,1705903605051000000,2
workspaceModel.loading.from.cache.ms,1705903545031000000,1705903605051000000,360
workspaceModel.update.unloaded.entities.ms,1705903545031000000,1705903605051000000,0
workspaceModel.replace.project.model.ms,1705903545031000000,1705903605051000000,0
workspaceModel.to.snapshot.ms,1705903545031000000,1705903605051000000,2
workspaceModel.updates.ms,1705903545031000000,1705903605051000000,106
workspaceModel.updates.count,1705903545031000000,1705903605051000000,3
workspaceModel.updates.precise.ms,1705903545031000000,1705903605051000000,52
workspaceModel.init.bridges.ms,1705903545031000000,1705903605051000000,2
workspaceModel.pre.handlers.ms,1705903545031000000,1705903605051000000,0
workspaceModel.check.recursive.update.ms,1705903545031000000,1705903605051000000,1
workspaceModel.collect.changes.ms,1705903545031000000,1705903605051000000,0
workspaceModel.loading.total.ms,1705903545031000000,1705903605051000000,397
FlushQueue.queueSize90P,1705903545031000000,1705903605051000000,33
NonBlockingReadAction.failedExecutionsCount,1705903545031000000,1705903605051000000,10
AWTEventQueue.dispatchTimeAvgNs,1705903545031000000,1705903605051000000,1805260.203764644
FlushQueue.executionTime90PNs,1705903545031000000,1705903605051000000,528383
NonBlockingReadAction.failedExecutionTimeUs,1705903545031000000,1705903605051000000,798150
FlushQueue.queueSizeAvg,1705903545031000000,1705903605051000000,11.746051032806804
AWTEventQueue.eventsDispatched,1705903545031000000,1705903605051000000,15194
NonBlockingReadAction.finalizedExecutionsCount,1705903545031000000,1705903605051000000,2202
FlushQueue.executionTimeAvgNs,1705903545031000000,1705903605051000000,1269020.155984204
FlushQueue.tasksExecuted,1705903545031000000,1705903605051000000,6584
NonBlockingReadAction.finalizedExecutionTimeUs,1705903545031000000,1705903605051000000,35153200
AWTEventQueue.dispatchTimeMaxNs,1705903545031000000,1705903605051000000,788529151
FlushQueue.queueSizeMax,1705903545031000000,1705903605051000000,141
AWTEventQueue.dispatchTimeTotalNS,1705903545031000000,1705903605051000000,27429700100
WriteAction.executionsCount,1705903545031000000,1705903605051000000,64
ReadAction.executionsCount,1705903545031000000,1705903605051000000,1922595
FlushQueue.waitingTime90PNs,1705903545031000000,1705903605051000000,211812351
FlushQueue.executionTimeMaxNs,1705903545031000000,1705903605051000000,784334847
FlushQueue.waitingTimeAvgNs,1705903545031000000,1705903605051000000,6.968328401154314E7
AWTEventQueue.dispatchTime90PNs,1705903545031000000,1705903605051000000,3342335
FlushQueue.waitingTimeMaxNs,1705903545031000000,1705903605051000000,1753219071
JVM.GC.collections,1705903545031000000,1705903605051000000,39
JVM.threadCount,1705903545031000000,1705903605051000000,154
JVM.usedHeapBytes,1705903545031000000,1705903605051000000,653142568
JVM.maxHeapBytes,1705903545031000000,1705903605051000000,2147483648
JVM.GC.collectionTimesMs,1705903545031000000,1705903605051000000,911
JVM.maxNativeBytes,1705903545031000000,1705903605051000000,-1
JVM.usedNativeBytes,1705903545031000000,1705903605051000000,368126016
JVM.totalBytesAllocated,1705903545031000000,1705903605051000000,8442894848
OS.loadAverage,1705903545031000000,1705903605051000000,-1.0
JVM.totalCpuTimeMs,1705903545031000000,1705903605051000000,163125
FileNameCache.queries,1705903605051000000,1705903665051000000,8511042
FileNameCache.totalMisses,1705903605051000000,1705903665051000000,425522
Indexes.entries.lookups,1705903605051000000,1705903665051000000,7.0
Indexes.entries.lookupDurationAvgMs,1705903605051000000,1705903665051000000,1.8571428571428572
Indexes.stubs.lookups,1705903605051000000,1705903665051000000,0.0
Indexes.allKeys.lookups,1705903605051000000,1705903665051000000,0.0
IndexesFlusher.totalFlushingTimeUs,1705903605051000000,1705903665051000000,827824
Indexes.allKeys.lookupDurationMaxMs,1705903605051000000,1705903665051000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1705903605051000000,1705903665051000000,0.0
Indexes.stubs.lookupDurationMaxMs,1705903605051000000,1705903665051000000,0.0
Indexes.stubs.lookupDurationAvgMs,1705903605051000000,1705903665051000000,0.0
Indexes.entries.lookupDuration90PMs,1705903605051000000,1705903665051000000,11.0
IndexesFlusher.totalFlushesRetried,1705903605051000000,1705903665051000000,0
Indexes.entries.lookupDurationMaxMs,1705903605051000000,1705903665051000000,11.0
Indexes.allKeys.lookupDuration90PMs,1705903605051000000,1705903665051000000,0.0
Indexes.stubs.lookupDuration90PMs,1705903605051000000,1705903665051000000,0.0
IndexesFlusher.totalFlushes,1705903605051000000,1705903665051000000,72
IndexesFlusher.totalContentionQuotaSpent,1705903605051000000,1705903665051000000,0
jps.global.get.library.ms,1705903605051000000,1705903665051000000,0
jps.facet.change.listener.before.change.events.ms,1705903605051000000,1705903665051000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1705903605051000000,1705903665051000000,0
jps.app.storage.content.writer.save.component.ms,1705903605051000000,1705903665051000000,0
workspaceModel.moduleBridge.update.option.ms,1705903605051000000,1705903665051000000,0
workspaceModel.load.cache.from.file.ms,1705903605051000000,1705903665051000000,350
jps.reload.project.entities.ms,1705903605051000000,1705903665051000000,0
workspaceModel.global.updates.count,1705903605051000000,1705903665051000000,0
jps.facet.change.listener.init.bridge.ms,1705903605051000000,1705903665051000000,0
jps.global.get.libraries.ms,1705903605051000000,1705903665051000000,0
jps.global.initialize.library.bridges.ms,1705903605051000000,1705903665051000000,1
jps.storage.jps.conf.reader.load.component.ms,1705903605051000000,1705903665051000000,42
workspaceModel.global.apply.state.to.project.ms,1705903605051000000,1705903665051000000,46
workspaceModel.mutableEntityStorage.add.diff.ms,1705903605051000000,1705903665051000000,23
jps.global.handle.before.change.events.ms,1705903605051000000,1705903665051000000,0
workspaceModel.load.cache.metadata.from.file.ms,1705903605051000000,1705903665051000000,47
workspaceModel.moduleBridge.before.changed.ms,1705903605051000000,1705903665051000000,0
jps.load.initial.state.ms,1705903605051000000,1705903665051000000,11
jps.module.iml.entities.serializer.load.entities.ms,1705903605051000000,1705903665051000000,41
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1705903605051000000,1705903665051000000,2
jps.app.storage.content.reader.load.component.ms,1705903605051000000,1705903665051000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1705903605051000000,1705903665051000000,1
jps.global.get.library.by.name.ms,1705903605051000000,1705903665051000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1705903605051000000,1705903665051000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1705903605051000000,1705903665051000000,0
workspaceModel.sync.entities.ms,1705903605051000000,1705903665051000000,0
jps.library.entities.serializer.save.entities.ms,1705903605051000000,1705903665051000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1705903605051000000,1705903665051000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1705903605051000000,1705903665051000000,122
workspaceModel.mutableEntityStorage.put.entity.ms,1705903605051000000,1705903665051000000,20
workspaceModel.moduleManagerBridge.build.module.graph.ms,1705903605051000000,1705903665051000000,2
workspaceModel.mutableEntityStorage.entities.by.source.ms,1705903605051000000,1705903665051000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1705903605051000000,1705903665051000000,0
workspaceModel.mutableEntityStorage.entities.ms,1705903605051000000,1705903665051000000,3
workspaceModel.mutableEntityStorage.remove.entity.ms,1705903605051000000,1705903665051000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1705903605051000000,1705903665051000000,0
jps.load.project.to.empty.storage.ms,1705903605051000000,1705903665051000000,125
jps.library.entities.serializer.load.entities.ms,1705903605051000000,1705903665051000000,0
jps.apply.loaded.storage.ms,1705903605051000000,1705903665051000000,147
workspaceModel.mutableEntityStorage.resolve.ms,1705903605051000000,1705903665051000000,0
jps.artifact.entities.serializer.load.entities.ms,1705903605051000000,1705903665051000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1705903605051000000,1705903665051000000,1
jps.module.iml.entities.serializer.save.entities.ms,1705903605051000000,1705903665051000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1705903605051000000,1705903665051000000,25
workspaceModel.orphan.listener.update.ms,1705903605051000000,1705903665051000000,3
jps.save.global.entities.ms,1705903605051000000,1705903665051000000,1
jps.project.serializers.load.ms,1705903605051000000,1705903665051000000,110
workspaceModel.mutableEntityStorage.has.same.entities.ms,1705903605051000000,1705903665051000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1705903605051000000,1705903665051000000,934
workspaceModel.delayed.project.synchronizer.sync.ms,1705903605051000000,1705903665051000000,283
jps.global.initialize.library.bridges.after.loading.ms,1705903605051000000,1705903665051000000,0
jps.project.serializers.save.ms,1705903605051000000,1705903665051000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1705903605051000000,1705903665051000000,0
jps.artifact.entities.serializer.save.entities.ms,1705903605051000000,1705903665051000000,0
jps.global.handle.changed.events.ms,1705903605051000000,1705903665051000000,0
jps.save.changed.project.entities.ms,1705903605051000000,1705903665051000000,2
workspaceModel.global.updates.ms,1705903605051000000,1705903665051000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1705903605051000000,1705903665051000000,0
workspaceModel.save.cache.to.file.ms,1705903605051000000,1705903665051000000,173
jps.facet.change.listener.process.change.events.ms,1705903605051000000,1705903665051000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1705903605051000000,1705903665051000000,41
workspaceModel.moduleBridge.facet.initialization.ms,1705903605051000000,1705903665051000000,2
workspaceModel.mutableEntityStorage.modify.entity.ms,1705903605051000000,1705903665051000000,8
workspaceModel.mutableEntityStorage.to.snapshot.ms,1705903605051000000,1705903665051000000,3
FilePageCacheLockFree.housekeeperTurnsDone,1705903605051000000,1705903665051000000,120
FilePageCacheLockFree.totalPageAllocationsWaited,1705903605051000000,1705903665051000000,0
FilePageCacheLockFree.totalPagesReadMs,1705903605051000000,1705903665051000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1705903605051000000,1705903665051000000,240336896
FilePageCacheLockFree.totalNativeBytesReclaimed,1705903605051000000,1705903665051000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1705903605051000000,1705903665051000000,0
FilePageCacheLockFree.totalPagesRequested,1705903605051000000,1705903665051000000,49
